id	effectiveTime	active	moduleId	sourceId	value	relationshipGroup	typeId	characteristicTypeId	modifierId
25361000003027		1	900000000000207008	779430005	#1	0	1142139005	900000000000011006	900000000000451002
39571000003028		1	900000000000207008	776168003	#1	0	1142139005	900000000000011006	900000000000451002
44801000003021		1	900000000000207008	1204474000	#1	0	1142139005	900000000000011006	900000000000451002
44851000003022		1	900000000000207008	1204474000	#1	1	1142137007	900000000000011006	900000000000451002
44861000003020		1	900000000000207008	1204474000	#600	1	1142138002	900000000000011006	900000000000451002
48671000003022		1	900000000000207008	329238006	#1	0	1142139005	900000000000011006	900000000000451002
48721000003025		1	900000000000207008	329238006	#4000	1	1142135004	900000000000011006	900000000000451002
48731000003028		1	900000000000207008	329238006	#1	1	1142136003	900000000000011006	900000000000451002
